Student_ID,Gender,Age,Study_Hours,Attendance,Assignment_Score,Quiz_Score,Midterm_Score,Final_Score,Internet_Access,Parent_Education,Family_Income,Extra_Activities,Previous_GPA,Target,Grade,Risk_Level
1001,Male,22,5.5,79.7,65.4,58.4,78.7,83.9,Yes,Bachelor,High,Yes,3.65,Pass,B,Low
1002,Female,16,4.3,97.1,71.5,64.8,74.5,84.5,Yes,None,Medium,Yes,3.64,Pass,B,Low
1003,Female,20,1.0,93.0,53.7,47.9,64.6,66.7,Yes,Master,Medium,Yes,3.06,Pass,C,Low
1004,Female,18,4.7,95.0,59.4,65.0,49.0,67.7,No,None,High,Yes,3.28,Pass,C,Low
1005,Male,19,4.3,79.0,53.7,64.6,54.3,68.5,Yes,None,Medium,Yes,2.12,Pass,C,Low
1006,Male,19,6.7,91.0,77.7,61.0,71.0,85.5,Yes,Bachelor,Medium,Yes,2.66,Pass,A,Low
1007,Male,16,7.5,83.6,80.2,80.4,74.1,85.1,No,Bachelor,Medium,No,3.29,Pass,A,Low
1008,Female,15,6.5,84.3,79.3,86.0,78.1,94.4,No,High School,Medium,No,3.23,Pass,A,Low
1009,Female,18,3.4,84.1,74.7,59.7,60.1,71.2,Yes,Bachelor,High,No,3.34,Pass,C,Low
1010,Female,19,1.0,91.9,50.5,55.5,58.7,62.5,Yes,Master,Low,Yes,2.87,Pass,D,Medium
1011,Male,16,2.9,85.5,62.7,59.8,67.4,70.1,Yes,Bachelor,Medium,No,2.41,Pass,C,Low
1012,Female,22,3.3,80.8,60.1,60.3,70.5,65.4,Yes,Master,Medium,Yes,2.76,Pass,C,Low
1013,Female,19,7.8,88.3,89.7,80.6,90.0,92.7,Yes,Master,High,No,2.83,Pass,A,Low
1014,Male,21,2.0,83.6,53.3,68.1,52.7,68.3,Yes,High School,High,Yes,2.95,Pass,C,Low
1015,Male,18,1.2,91.8,59.9,42.2,60.9,60.2,Yes,Doctorate,Medium,Yes,2.22,Pass,D,Medium
1016,Male,18,2.4,81.4,59.2,56.9,66.1,66.8,Yes,Bachelor,Medium,No,2.64,Pass,C,Low
1017,Male,21,2.0,77.3,51.8,46.0,61.7,63.1,No,High School,Medium,No,2.75,Pass,D,Medium
1018,Female,17,1.2,87.2,48.0,54.0,64.0,52.2,Yes,Doctorate,Medium,No,1.45,Pass,D,Medium
1019,Male,22,3.0,98.4,65.6,64.0,82.4,80.4,Yes,Bachelor,High,Yes,3.3,Pass,B,Low
1020,Male,21,3.4,82.3,65.1,53.1,67.5,72.5,Yes,Master,High,Yes,2.9,Pass,C,Low
1021,Female,20,1.1,87.2,53.8,55.5,65.0,72.9,Yes,Bachelor,High,Yes,2.96,Pass,C,Low
1022,Male,20,2.6,79.9,55.1,50.7,57.2,60.4,Yes,Bachelor,Low,No,2.49,Pass,D,Medium
1023,Male,16,1.9,92.1,73.3,61.0,73.0,79.4,Yes,Master,High,No,3.15,Pass,B,Low
1024,Male,18,1.0,95.4,60.9,53.1,52.1,62.8,No,Bachelor,High,No,2.3,Pass,D,Medium
1025,Male,17,3.4,95.3,73.7,51.2,72.9,72.1,Yes,Bachelor,Medium,Yes,2.4,Pass,C,Low
1026,Female,17,3.6,96.7,61.3,70.8,77.5,79.2,Yes,High School,Medium,No,3.18,Pass,B,Low
1027,Male,19,1.9,92.1,67.6,61.6,65.7,76.4,Yes,Doctorate,Medium,Yes,3.01,Pass,B,Low
1028,Female,19,5.8,88.0,54.0,59.7,56.8,76.3,Yes,High School,Medium,Yes,2.03,Pass,B,Low
1029,Female,21,3.2,86.7,69.4,80.0,84.5,83.4,Yes,Doctorate,High,Yes,3.75,Pass,B,Low
1030,Male,17,2.0,87.8,53.1,55.1,48.4,63.1,Yes,Bachelor,Medium,Yes,2.34,Pass,D,Medium
1031,Female,21,1.1,89.4,68.7,48.0,69.4,64.3,Yes,Bachelor,Medium,Yes,2.72,Pass,D,Medium
1032,Male,22,3.8,85.3,62.1,69.7,68.7,79.4,Yes,None,Medium,Yes,3.85,Pass,B,Low
1033,Male,21,4.3,94.0,64.7,58.4,63.0,70.7,Yes,High School,Medium,Yes,1.56,Pass,C,Low
1034,Female,19,2.3,77.9,48.0,45.1,57.3,62.0,Yes,Bachelor,High,Yes,1.78,Pass,D,Medium
1035,Female,18,3.5,79.0,67.0,58.2,56.2,73.3,Yes,Master,Medium,Yes,3.07,Pass,C,Low
1036,Female,21,7.5,93.0,73.5,73.4,89.2,87.2,Yes,Master,Medium,Yes,1.31,Pass,A,Low
1037,Male,15,5.3,96.3,77.6,65.8,68.8,78.3,Yes,Bachelor,Low,Yes,1.57,Pass,B,Low
1038,Male,18,1.0,89.6,66.0,68.7,69.3,73.4,Yes,Bachelor,Medium,No,3.51,Pass,C,Low
1039,Female,17,2.0,89.2,54.8,67.9,67.6,69.2,No,Master,Medium,No,2.55,Pass,C,Low
1040,Male,17,2.9,63.1,70.1,49.4,69.2,71.5,Yes,Master,High,Yes,4.0,Pass,C,Medium
1041,Male,21,3.4,85.4,48.9,55.3,69.4,67.2,Yes,Master,Low,No,2.18,Pass,C,Low
1042,Female,18,3.5,86.9,69.1,62.9,65.0,80.3,Yes,Bachelor,Medium,No,2.61,Pass,B,Low
1043,Male,19,4.1,93.6,55.4,64.5,55.7,72.8,Yes,None,Low,Yes,3.12,Pass,C,Low
1044,Female,19,3.0,94.2,74.6,78.0,64.7,81.1,Yes,Bachelor,Medium,Yes,3.08,Pass,B,Low
1045,Male,20,3.2,95.9,72.2,62.2,69.2,87.2,Yes,High School,High,No,2.65,Pass,A,Low
1046,Female,17,5.5,91.1,72.0,76.6,78.7,82.6,Yes,Bachelor,Medium,No,2.41,Pass,B,Low
1047,Male,16,3.8,93.9,71.3,73.8,67.2,81.5,Yes,High School,Medium,No,2.94,Pass,B,Low
1048,Female,20,1.4,75.6,59.6,60.5,58.6,67.9,Yes,High School,Medium,No,3.63,Pass,C,Low
1049,Female,19,3.4,81.6,69.8,75.1,65.9,77.9,Yes,High School,Low,Yes,3.26,Pass,B,Low
1050,Male,18,3.0,81.9,68.3,53.3,73.5,72.5,Yes,High School,Medium,Yes,2.42,Pass,C,Low
1051,Female,22,1.0,74.8,58.5,42.3,47.4,51.5,Yes,Bachelor,Medium,Yes,2.2,Pass,D,Medium
1052,Female,19,3.5,93.9,48.6,41.5,52.9,66.5,No,High School,Medium,Yes,2.38,Pass,C,Low
1053,Female,18,1.6,89.5,49.8,38.5,28.4,44.5,No,High School,High,Yes,2.04,Fail,F,High
1054,Female,20,5.5,70.8,67.1,59.6,56.3,81.7,Yes,High School,Medium,Yes,2.89,Pass,B,Medium
1055,Female,17,4.1,86.9,62.4,56.2,60.4,82.0,Yes,High School,Medium,Yes,3.29,Pass,B,Low
1056,Female,19,1.4,76.7,49.3,51.6,51.5,57.7,Yes,High School,High,Yes,2.76,Pass,D,Medium
1057,Male,21,5.4,92.7,72.2,80.5,90.9,98.9,No,Bachelor,High,Yes,3.83,Pass,A,Low
1058,Male,18,6.8,72.8,80.7,73.8,73.2,89.4,Yes,None,Medium,Yes,3.87,Pass,A,Medium
1059,Male,17,2.7,91.4,60.7,58.2,65.5,72.7,No,Doctorate,Low,Yes,2.98,Pass,C,Low
1060,Male,22,2.9,84.5,91.9,81.9,89.0,85.6,Yes,Doctorate,Medium,Yes,3.22,Pass,A,Low
1061,Male,22,5.1,81.7,63.9,57.6,76.7,80.9,Yes,High School,Medium,No,2.26,Pass,B,Low
1062,Male,16,6.5,86.2,54.9,68.2,75.6,80.3,No,High School,Low,No,2.58,Pass,B,Low
1063,Female,18,1.0,96.3,55.3,53.8,57.9,71.0,Yes,High School,Low,Yes,3.56,Pass,C,Low
1064,Male,20,1.5,75.2,57.0,56.1,54.0,60.5,Yes,Master,Low,Yes,2.45,Pass,D,Medium
1065,Male,16,2.5,79.8,60.2,60.5,78.9,75.9,Yes,High School,Medium,No,3.69,Pass,B,Low
1066,Female,16,2.6,92.1,73.5,62.0,79.0,74.8,Yes,Bachelor,Medium,Yes,3.47,Pass,C,Low
1067,Male,15,5.0,89.5,66.1,47.9,83.2,83.2,Yes,High School,Medium,No,3.25,Pass,B,Low
1068,Female,19,6.5,69.0,56.9,64.4,68.2,70.9,Yes,High School,Low,Yes,2.1,Pass,C,Medium
1069,Male,18,6.8,87.1,82.5,67.1,70.5,88.0,Yes,None,Medium,No,2.61,Pass,A,Low
1070,Female,16,1.0,88.2,67.6,57.6,45.5,72.6,Yes,Master,Medium,No,3.19,Pass,C,Low
1071,Female,15,1.9,85.1,51.5,48.8,47.0,53.3,Yes,Master,Low,No,2.21,Pass,D,Medium
1072,Male,20,1.3,94.5,55.2,51.4,48.5,61.9,No,Bachelor,Medium,Yes,2.69,Pass,D,Medium
1073,Male,17,2.2,85.6,72.8,74.4,73.9,75.6,Yes,Doctorate,Medium,No,3.25,Pass,B,Low
1074,Female,21,1.9,95.1,61.9,59.7,57.2,63.9,Yes,Bachelor,Medium,No,2.46,Pass,D,Medium
1075,Female,21,4.1,84.1,66.6,63.2,61.7,70.1,Yes,None,Medium,No,2.29,Pass,C,Low
1076,Female,18,4.4,77.8,37.8,38.4,51.1,64.6,Yes,High School,Low,Yes,1.72,Pass,D,Medium
1077,Female,16,3.2,93.1,62.9,56.5,69.2,80.9,No,Bachelor,Medium,No,2.57,Pass,B,Low
1078,Male,21,3.0,90.0,67.9,67.0,77.2,75.7,Yes,Bachelor,Low,Yes,3.26,Pass,B,Low
1079,Male,19,2.5,90.5,57.4,57.4,55.4,67.9,Yes,Bachelor,Low,Yes,2.28,Pass,C,Low
1080,Male,21,2.7,93.2,53.6,61.6,72.3,69.6,Yes,Doctorate,Medium,No,2.81,Pass,C,Low
1081,Female,21,7.5,85.8,85.8,65.2,76.6,88.6,Yes,None,Medium,Yes,2.67,Pass,A,Low
